업종,시설명(업소),주소,흡연실 개소수,위도,경도
게임업소,VIP PC,서울특별시 중랑구 면목동 151-7번지,1,37.5853986420131,127.080089760808
게임업소,TOP PLACE PC(탑플레이스PC 상봉점),서울특별시 중랑구 상봉동 113번지,1,37.5955066222163,127.085331889126
게임업소,용마PC,서울특별시 중랑구 망우동 403-16번지,1,37.5968746370782,127.100502663833
게임업소,아즈텍PC방 망우점,서울특별시 중랑구 망우동 461-1번지,1,37.5957345681701,127.099385319678
게임업소,따라가기PC방,서울특별시 중랑구 면목동 175-40번지,1,37.5849778776737,127.078751639082
게임업소,Q9 PC방,서울특별시 중랑구 면목동 72-57번지,1,37.5891116664346,127.091914240693
게임업소,ON PC방,서울특별시 중랑구 묵동 239-1번지,1,37.6117672510879,127.077203205993
게임업소,엔탑PC방,서울특별시 중랑구 상봉동 101-15번지,1,37.5959092411997,127.085999413787
게임업소,하라보 보드게임장,서울특별시 중랑구 면목로27길 92,1,37.5742668436457,127.080518532414
체육시설업,용마골프클럽,서울특별시 중랑구 망우로70길 105,1,37.5955282567377,127.104784268253
체육시설업,우리골프스쿨,서울특별시 중랑구 면목로27길 6,1,37.5752423143433,127.084941189574
체육시설업,동경골프연습장,서울특별시 중랑구 봉화산로 193,1,37.6068322383951,127.094457238177
체육시설업,KG 골프사관대학원,서울특별시 중랑구 용마산로 348,1,37.5835281683818,127.094371404549
체육시설업,OK 골프연습장,서울특별시 중랑구 신내로25가길 2,1,37.6194780819731,127.08419542632
체육시설업,J&A 골프스쿨,서울특별시 중랑구 동일로 752,1,37.5970090851956,127.082070702444
체육시설업,삼부그린스포츠센터,서울특별시 중랑구 용마산로 623,1,37.6067294197018,127.100476623662
체육시설업,Sun골프아카데미,서울특별시 중랑구 숙선옹주로 91,1,37.6172653669997,127.085544432545
체육시설업,삼보 골프스쿨,서울특별시 중랑구 중랑천로10길 76,1,37.5922443208716,127.077343706007
체육시설업,신아골프존,서울특별시 중랑구 봉화산로 194,1,37.6064526315197,127.094707041869
체육시설업,대명골프,서울특별시 중랑구 봉화산로56길 153,1,37.6014843289566,127.096785094457
체육시설업,용마 스크린골프,서울특별시 중랑구 용마산로 494,1,37.5949757275537,127.100268095195
체육시설업,유진 스크린골프장,서울특별시 중랑구 망우로 448,1,37.5998703125968,127.101588367221
체육시설업,현대 야외 스크린골프,서울특별시 중랑구 용마산로129나길 6,1,37.6068996447662,127.099593040079
체육시설업,Nobless 스크린골프,서울특별시 중랑구 면목로39길 18,1,37.5799500051598,127.086434574995
체육시설업,세븐골프,서울특별시 중랑구 신내로21길 6,1,37.617397644272,127.090127713018
체육시설업,스크린골프 PGA,서울특별시 중랑구 망우로 316,1,37.5965223858128,127.087565034141
체육시설업,J스크린 & 골프스쿨,서울특별시 중랑구 동일로143길 19,1,37.605007486547,127.077618295975
체육시설업,대영 스크린골프,서울특별시 중랑구 겸재로 226-3,1,37.5893864514493,127.092972097208
체육시설업,천지골프,서울특별시 중랑구 신내로7가길 35,1,37.6022805443814,127.093872012268
체육시설업,w 스크린골프,서울특별시 중랑구 신내로 48,1,37.6031952016433,127.09614509506
체육시설업,GOTO 면목 골프,서울특별시 중랑구 면목로39길 11,1,37.5795516849136,127.086299055242
체육시설업,휘트니스 놀이터,서울특별시 중랑구 숙선옹주로 6-9,1,37.614842144969,127.077888682936
체육시설업,SS골프,서울특별시 중랑구 용마산로 361,1,37.5842601320031,127.093696649947
체육시설업,정이든 스크린골프,서울특별시 중랑구 용마산로 382,1,37.5856902647309,127.095065336528
체육시설업,이코리아스포츠,서울특별시 중랑구 망우로 458,1,37.5999698241466,127.102995065481
체육시설업,라인헬스아카데미,서울특별시 중랑구 용마산로 389,1,37.5864975696368,127.094934121888
체육시설업,세방헬스클럽,서울특별시 중랑구 면목로37길 17,1,37.5790898647419,127.085266960886
체육시설업,광현헬스,서울특별시 중랑구 사가정로52길 22,1,37.579847041388,127.086776011283
체육시설업,테크노 휘트니스,서울특별시 중랑구 동일로 608,1,37.5846436762609,127.080124841926
체육시설업,피트니스 에스 핏,서울특별시 중랑구 신내로14길 13,1,37.6058331727345,127.096079861027
